ID,Month,Latitude,Longitude
9108694,9,-17.066,59.675
9108694,9,-17.072,59.595
9108694,9,-17.081,59.507
9108694,9,-17.091,59.416
9108694,9,-17.097,59.329
9108694,9,-17.087,59.253
9108694,9,-17.071,59.184
9108694,9,-17.055,59.119
9108694,9,-17.043,59.059
9108694,9,-17.045,59.004
9108694,9,-17.053,58.953
9108694,9,-17.064,58.905
9108694,9,-17.077,58.86
9108694,9,-17.092,58.82
9108694,9,-17.108,58.782
9108694,9,-17.122,58.748
9108694,9,-17.134,58.716
9108694,9,-17.135,58.69
9108694,9,-17.133,58.665
9108694,9,-17.127,58.643
9108694,9,-17.12,58.621
9108694,9,-17.105,58.597
9108694,9,-17.087,58.574
9108694,9,-17.07,58.551
9108694,9,-17.053,58.531
9108694,9,-17.044,58.515
9108694,9,-17.038,58.5
9108694,9,-17.034,58.485
9108694,9,-17.034,58.467
9108694,9,-17.04,58.441
9108694,9,-17.05,58.413
9108694,9,-17.063,58.382
9108694,9,-17.081,58.352
9108694,9,-17.117,58.325
9108694,9,-17.158,58.299
9108694,9,-17.197,58.274
9108694,9,-17.227,58.25
9108694,9,-17.219,58.228
9108694,9,-17.195,58.207
9108694,9,-17.165,58.183
9108694,9,-17.132,58.155
9108694,9,-17.1,58.118
9108694,9,-17.07,58.074
9108694,9,-17.043,58.026
9108694,9,-17.022,57.974
9108694,9,-17.023,57.917
9108694,9,-17.033,57.857
9108694,9,-17.047,57.795
9108694,9,-17.063,57.732
9108694,9,-17.082,57.671
9108694,9,-17.101,57.61
9108694,9,-17.119,57.548
9108694,9,-17.132,57.484
9108694,9,-17.132,57.416
9108694,9,-17.125,57.348
9108694,9,-17.114,57.281
9108694,9,-17.1,57.217
9108694,9,-17.079,57.161
9108694,9,-17.055,57.109
9108694,9,-17.029,57.062
9108694,9,-17.002,57.02
9108694,9,-16.968,56.984
9108694,9,-16.934,56.954
9108694,9,-16.902,56.925
9108694,9,-16.876,56.898
9108694,9,-16.873,56.87
9108694,9,-16.878,56.842
9108694,9,-16.887,56.814
9108694,9,-16.897,56.785
9108694,9,-16.908,56.754
9108694,9,-16.917,56.723
9108694,9,-16.925,56.693
9108694,9,-16.929,56.666
9108694,9,-16.92,56.649
9108694,9,-16.904,56.634
9108694,9,-16.885,56.612
9108694,9,-16.861,56.575
9108694,9,-16.825,56.499
9108694,9,-16.786,56.405
9108694,9,-16.745,56.31
9108694,9,-16.705,56.225
9108694,9,-16.672,56.174
9108694,9,-16.642,56.14
